canonical_id,canonical_text,lane,preferred_route,confidence_max,member_claim_ids,member_count,sources,notes
CC-0001,"The constants inventory includes 8 standard constants (pi, phi, sqrt10, e, gamma, Feigenbaum delta, Feigenbaum alpha, zeta(3)).",Evidence,Compute-first,0.80,CA-0001,1,RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,singleton
CC-0002,C_transform is defined as abs(-1/sqrt(10)) and simplifies to 1/sqrt(10).,Kernel,Lean-now,0.95,CA-0002,1,RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,singleton
CC-0003,Position-10 REST transformation uses C_transform in code artifacts.,Evidence,Compute-first,0.70,CA-0003,1,RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,singleton
CC-0004,Krystal/Phi spiral constants are referenced in fractal generator artifacts.,Evidence,Compute-first,0.60,CA-0004,1,RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,singleton
CC-0005,C_transform may be novel in mainstream mathematics.,Anchor,Conjecture,0.20,CA-0005,1,RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,singleton
CC-0006,A 13-cycle mathematical framework is proposed as a novel analysis basis.,Bridge,Conjecture,0.40,CA-0006,1,RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,singleton
CC-0007,The document proposes a mapping from named constants to musical intervals.,Bridge,Compute-first,0.65,CA-0007|CA-0024,2,RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md|RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,merged
CC-0008,"Digital-root classes 1-4-7, 2-5-8, 3-6-9 are mapped to interval classes.",Bridge,Compute-first,0.60,CA-0008,1,RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,singleton
CC-0009,Tetrahedral feature classes (vertex/edge/face/center) are mapped to musical intervals.,Physics bridge,Compute-first,0.55,CA-0009,1,RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,singleton
CC-0010,"Dimensional doubling function D(n)=13*2^(n-1) generates 13,26,52,104,208 for n=1..5.",Kernel,Lean-now,0.98,CA-0010,1,RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,singleton
CC-0011,Tzolkin identity 260 = 13 * 20.,Kernel,Lean-now,1.00,CA-0011,1,RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,singleton
