canonical_id,preferred_route,lane,confidence_max,score_formalizability,score_cross_view,score_axiom_efficiency,score_novelty,priority_score,action_path,status,notes
CC-0023,Lean-now,Kernel,0.95,1.000,0.800,0.950,0.500,0.905,lean_first,completed,formalized_in_lean/Interface_Polynomial_Identities_Theorem.lean
CC-0014,Lean-now,Bridge,0.95,1.000,0.850,0.850,0.650,0.898,lean_first,completed,formalized_in_lean/Interval_Inversion_Ratio_Theorem.lean
CC-0011,Lean-now,Kernel,1.00,1.000,0.700,0.950,0.650,0.896,lean_first,completed,formalized_in_lean/Tzolkin_Identity_Theorem.lean
CC-0013,Lean-now,Kernel,1.00,1.000,0.700,0.950,0.650,0.896,lean_first,completed,formalized_in_lean/Inverse_Constant_Definition_Theorem.lean
CC-0015,Lean-now,Kernel,1.00,1.000,0.700,0.950,0.650,0.896,lean_first,completed,formalized_in_lean/Golden_Silver_Inverse_Identities_Theorem.lean
CC-0021,Lean-now,Kernel,1.00,1.000,0.700,0.950,0.650,0.896,lean_first,completed,formalized_in_lean/Triad_Balance_Definition_Theorem.lean
CC-0010,Lean-now,Kernel,0.98,1.000,0.700,0.950,0.650,0.895,lean_first,completed,formalized_in_lean/Dimensional_Doubling_Sequence_Theorem.lean
CC-0016,Lean-now,Kernel,0.98,1.000,0.700,0.950,0.650,0.895,lean_first,completed,formalized_in_lean/Golden_Silver_Inverse_Identities_Theorem.lean
CC-0002,Lean-now,Kernel,0.95,1.000,0.700,0.950,0.650,0.893,lean_first,completed,formalized_in_lean/C_Transform_Identity_Theorem.lean
CC-0030,Lean-now,Kernel,0.90,1.000,0.700,0.950,0.650,0.891,lean_first,completed,formalized_in_lean/Multi_Constant_Resonance_Model_Theorem.lean
CC-0040,Lean-now,Kernel,0.60,1.000,0.700,0.950,0.650,0.876,lean_first,completed,formalized_in_lean/SL_Mirror_Involution_REST_Theorem.lean
CC-0035,Compute-first,Kernel,0.85,0.802,0.700,0.800,0.650,0.771,compute_then_lean_anchor,queued,singleton
CC-0026,Compute-first,Bridge,0.80,0.695,0.850,0.700,0.650,0.733,compute_then_lean_anchor,queued,singleton
CC-0046,Compute-first,Bridge,0.75,0.688,0.850,0.700,0.650,0.727,compute_then_lean_anchor,queued,singleton
CC-0017,Compute-first,Bridge,0.70,0.680,0.850,0.700,0.650,0.722,compute_then_lean_anchor,queued,singleton
