path,family,type,size_bytes,mtime_utc,sha256,status,trust_tier,route,notes
RequestedInfo/10-ufrf-fourier-connection.md,physics_bridge,md,12584,2025-10-27T05:10:22+00:00,b627a059bc7e8d2f5969f2440b4407c5910d6e67407c9f60286c5385689668e3,pending,T1,,
RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md,constants,md,13171,2025-06-24T20:07:51+00:00,a355c07c60cb3f2f061d08ff029d57160800957106a0130e1a634684c27811ee,done,T0,h1_docs,claim_atoms_batch_b
RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md,constants,md,15353,2025-06-24T20:07:44+00:00,7a6cb64d44b4a3b72cff5a188b73be584baf66e239bfee34df7d57c20508880c,done,T0,h1_docs,claim_atoms_batch_b
RequestedInfo/Constants/Constants_emergence_From_UFRF.pdf,constants,pdf,172656,2025-06-24T23:41:33+00:00,be5f8adaa00fc99bacd43763f96fcfb53c4989e496d0261585178221f506579b,done,T0,h1_docs,claim_atoms_batch_c
RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md,constants,md,17338,2025-06-18T03:14:21+00:00,1025e67b934fc105ddfe1745174280634f9448ddb5eb0d63bb52e2d32d0245a6,done,T0,h1_docs,claim_atoms_batch_b
RequestedInfo/Constants/UFRF Constants Discovery_ Complete Analysis Including Spiral Mechanics and Prime Source Dynamics.md,constants,md,19882,2025-06-24T20:19:45+00:00,d82b9ab12c968fe2ad274b81a5b18a7735571fb61f0d8a848b97195a65b4764a,done,T0,h1_docs,claim_atoms_batch_c
RequestedInfo/Constants/UFRF Constants Discovery_ Complete Unified Analysis of Structural Emergence and Mathematical Harmony.md,constants,md,37864,2025-06-24T20:17:35+00:00,cdad374c51591688e7ca1e058112908c88aa26d79ac1d8eda09b4282e26628de,done,T0,h1_docs,claim_atoms_batch_c
RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md,constants,md,106103,2025-06-24T20:08:02+00:00,fa3c74bd771232a03aee2e78508897e6035ef9c929fbfaa964c379003188ecb8,done,T0,h1_docs,claim_atoms_batch_c
RequestedInfo/Constants/UFRF Constants Discovery_ Emergence from Geometric and Cyclic Fractal Harmonic Structure.md,constants,md,16496,2025-06-24T20:07:24+00:00,c2ab110b20062bcb07e02d6517bf55eeef2f604cd43a23c62f0de02260bc6ee5,done,T0,h1_docs,claim_atoms_batch_c
RequestedInfo/Constants/UFRF Constants Discovery_ The Unified Fractal Resonance Framework Revelation.md,constants,md,23342,2025-06-24T20:07:39+00:00,7a41a0ce94d22b8bad9c3ea0a37ff39bfc08707a4d848862d103cfb1506cbf2f,done,T0,h1_docs,claim_atoms_batch_c
RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md,constants,md,6190,2025-06-17T18:43:13+00:00,82eaedc66be2e60d2cd888e33acb4760efef7b08052f6ae80f5f02ec12eefcd6,done,T0,h1_docs,claim_atoms_batch_a
RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,constants,md,8268,2025-06-18T03:14:21+00:00,6c1124cc71a1856aac91d58f59063085292bf3fa1ada4ce52cecec6be4bc07bb,done,T0,h1_docs,claim_atoms_batch_a
RequestedInfo/Constants/inverse_relationships_for_constants.md,constants,md,13845,2025-06-22T22:05:57+00:00,10eac1ffbd4596350cfb606edbbbfafb90ab540769c829b5452565a372c89da0,done,T0,h1_docs,claim_atoms_batch_a
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/development_artifacts/FINAL_REPORT_UFRF_MULTIPLEX_PTL_PHASE2.md,legacy,md,5353,2025-05-08T19:42:02+00:00,1d6395e169dba3c96728926970ef20e9d8ef99840ea36893d0f80c2b802de4fd,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/development_artifacts/comprehensive_report_ufrf_ptl_phase2.md,legacy,md,18651,2025-05-08T19:42:02+00:00,4082b929b4db77fc5fb7bae7b6190aeacbc5cc7f8726e5bbbe9dcf5651070264,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/development_artifacts/conceptual_relationships_analysis.md,legacy,md,10283,2025-05-08T19:42:02+00:00,73a90d9b2f2949051804bef7c8efc173d2be3c9c516d1f20d8083792d78463d2,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/development_artifacts/key_concepts_and_requirements.md,legacy,md,4906,2025-05-08T19:42:02+00:00,8eb4c6babd029866bc5a01431487045224093af0e2963f055443ee8515751ffe,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/development_artifacts/synthesized_findings_ufrf_ptl.md,legacy,md,8389,2025-05-08T19:42:02+00:00,b1f6332b2bd1169d136c22ec1f3ec3f35052a995de88aa6bc956e9247424bec9,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/documentation/MULTIPLEX_PTL_FRAMEWORK_DOCUMENTATION.md,legacy,md,17871,2025-05-08T19:08:20+00:00,82588b40db82f297ecea3083ff876abdefa708d6bc76e5091359dcf61baaadf5,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/source_code/ptl_model_v12.py,legacy,py,15617,2025-05-08T18:49:47+00:00,8aec1636ec324242088dc4407637416b66579ba4639cb4201324c6557ad9687d,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/source_code/ptl_multiplex_framework.py,legacy,py,12035,2025-05-08T19:01:13+00:00,80d4c81b19fe4f680f2bac84dba62ccc1fa61a83501cbb9999a9f67cac3ef693,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/source_code/ptl_multiplex_visualizer_v0.py,legacy,py,9097,2025-05-08T19:05:27+00:00,47e4e35c4a812ffc38542f9aedc0b2d13353ef8aa4f439f8087d4d4e8c8a8905,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/source_code/simple_coupling.py,legacy,py,5231,2025-05-08T19:03:35+00:00,f1bb7adfb304cf7e87b0fc5835eef59604d37fea3b590f3d355e1f227ed268de,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/tests/test_multiplex_ptl_suite.py,legacy,py,9401,2025-05-08T18:52:53+00:00,035f5136b28e725fb79a29f45f26f12d8343409f0fffacbd95fef62e91d5e383,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/tests/test_outputs/test_visualization.png,legacy,png,196856,2025-05-08T19:05:54+00:00,1abd59cacd5e3908ebbc0c8829506ab1a87563243c2cf011bbc0a166442881fc,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/B_Multiplex_PTL_Framework_Implementation_Phase2.1/tests/test_outputs/test_visualization_complex.png,legacy,png,198257,2025-05-08T19:05:55+00:00,70bc6f39c0c434d1b2c668cf1f712ed65b90c5509b6310aca094cf09ae8e2165,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/INVENTORY.md,legacy,md,867,2026-02-11T06:42:35.558155+00:00,0a8a8721b2792ebc0fb612e265ff125ad0d1bccbf40ea82cc4beeb6a6d6c3135,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/README.md,legacy,md,4686,2025-04-26T04:24:08+00:00,b6af9e2f6757800f54747ba73448b9db8d254f91b93da1b9f19b75c26365e3b2,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/code/__init__.py,legacy,py,0,2025-04-26T04:23:39+00:00,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/code/contextual_unity_detector.py,legacy,py,10769,2025-04-26T04:23:39+00:00,069cd7bcf7d519f41d62428261739cd308579d845d6096dd695e7d1278bb1a49,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/code/contextual_unity_validator.py,legacy,py,38913,2025-04-26T04:23:39+00:00,486367b83514e72106080054e2bd7d0533ae35f6a964240ef6df1300dcd2120b,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/code/create_visualizations.py,legacy,py,32880,2025-04-26T04:23:39+00:00,afa2c81a10a03b3774a6435e171d2cf1d32f65214dbb59e01044db1b10486c55,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/code/cross_scale_coherence_optimizer.py,legacy,py,25583,2025-04-26T04:23:39+00:00,df673d95df484e8a4deb5e3c72d4c88b0eee4c36ec0a15fa6cad42cec401d76f,pending,T0,,
RequestedInfo/ReallyOldbutRelevant/Tensor_Fields_ufrf_complete_package 2/code/cross_scale_context_analyzer.py,legacy,py,28073,2025-04-26T04:23:39+00:00,c2f7c7497e6d8bd4b524087e43211007695d7149d0fea2b7c1d50e60be0afa5c,pending,T0,,
