claim_id,source_path,claim_text,assumptions,lane,route,confidence,notes
CA-0001,"RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md","The constants inventory includes 8 standard constants (pi, phi, sqrt10, e, gamma, Feigenbaum delta, Feigenbaum alpha, zeta(3)).","Treat as document-level inventory until code-level extraction confirms each occurrence.","Evidence","Compute-first","0.80","Convert to reproducible extractor over corpus."
CA-0002,"RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md","C_transform is defined as abs(-1/sqrt(10)) and simplifies to 1/sqrt(10).","Real-valued sqrt(10) > 0.","Kernel","Lean-now","0.95","Good candidate for small exact identity theorem."
CA-0003,"RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md","Position-10 REST transformation uses C_transform in code artifacts.","Requires direct citation to exact file/line in current repo.","Evidence","Compute-first","0.70","Back this claim by scripted code search output."
CA-0004,"RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md","Krystal/Phi spiral constants are referenced in fractal generator artifacts.","Requires reproducible source inventory and definition normalization.","Evidence","Compute-first","0.60","Treat as artifact discovery, not theorem."
CA-0005,"RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md","C_transform may be novel in mainstream mathematics.","Novelty requires external literature survey.","Anchor","Conjecture","0.20","Keep outside formal proof spine."
CA-0006,"RequestedInfo/Constants/UFRF Mathematical Constants - COMPREHENSIVE DEEP SEARCH REPORT (1).md","A 13-cycle mathematical framework is proposed as a novel analysis basis.","Novelty and scope are not yet formally delimited.","Bridge","Conjecture","0.40","Only promote components already formalized in Lean."
CA-0007,"RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md","The document proposes a mapping from named constants to musical intervals.","Mapping quality depends on explicit scoring/selection rule.","Bridge","Compute-first","0.65","Implement deterministic nearest-interval rule before acceptance."
CA-0008,"RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md","Digital-root classes 1-4-7, 2-5-8, 3-6-9 are mapped to interval classes.","Requires exact digital-root operator and dataset definition.","Bridge","Compute-first","0.60","Could become finite classification theorem after rule fix."
CA-0009,"RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md","Tetrahedral feature classes (vertex/edge/face/center) are mapped to musical intervals.","Needs explicit geometry-to-feature extraction and tie-break handling.","Physics bridge","Compute-first","0.55","Route through representation layer first."
CA-0010,"RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md","Dimensional doubling function D(n)=13*2^(n-1) generates 13,26,52,104,208 for n=1..5.","Uses natural-number indexing with n>=1.","Kernel","Lean-now","0.98","Direct finite-sequence lemma candidate."
